447,599446
205,126094
476,679747
269,217102
65,12694
198,117631
442,586111
94,26527
349,365422
634,1205887
190,108319
709,1508062
157,73966
118,41791
56,9427
445,594094
513,789526
707,1499566
690,1428319
288,248851
346,359167
123,45406
253,192046
23,1606
164,80707
465,648694
157,73966
323,313006
384,442387
697,1457446
482,696991
461,637582
118,41791
283,240286
542,881311
27,2206
261,204382
423,536806
638,1221151
517,801886
435,567694
732,1607491
632,1198291
454,618367
150,67519
359,386662
81,19702
317,301486
47,6646
533,852286
600,1080019
442,586111
101,30622
609,1112662
288,248851
696,1453267
741,1647262
368,406291
684,1403587
425,541894
506,768127
86,22207
561,944182
192,110611
86,22207
186,103807
497,741046
558,934111
530,842719
735,1620694
628,1183171
476,679747
481,694102
610,1116319
173,89806
192,110611
541,878062
554,920767
238,169951
527,833206
554,920767
1,22
494,732127
447,599446
331,328702
546,894367
433,562486
742,1651711
577,998806
38,4351
94,26527
44,5827
138,57151
63,11926
210,132319
685,1407694
613,1127326
632,1198291
406,494527
498,744031
705,1491094
443,588766
720,1555219
274,225247
623,1164406
10,319
318,303391
623,1164406
7,166
404,489667
465,648694
730,1598719
669,1342702
615,1134694
380,433219
266,212287
141,59662
68,13891
202,122431
481,694102
588,1037251
412,509251
330,326719
460,634819
360,388819
515,795694
217,141286
83,20686
8,211
336,338707
505,765094
737,1629526
280,235219
597,1069246
414,514207
626,1175647
109,35662
145,63094
556,927427
733,1611886
23,1606
376,424147
643,1240366
641,1232662
333,332686
476,679747
444,591427
202,122431
195,114094
376,424147
10,319
631,1194502
300,270019
566,961087
170,86719
627,1179406
281,236902
509,777262
519,808102
544,887827
395,468094
547,897646
280,235219
668,1338691
631,1194502
538,868351
403,487246
464,645907
346,359167
411,506782
400,480019
686,1411807
394,465727
51,7822
572,981571
297,264646
653,1279246
529,839542
737,1629526
40,4819
15,694
621,1156942
718,1546591
424,539347
565,957694
604,1094467
629,1186942
187,104926
362,393151
158,74911
721,1559542
570,974719
613,1127326
239,171382
654,1283167
734,1616287
335,336694
426,544447
547,897646
443,588766
508,774211
733,1611886
501,753022
2,31
656,1291027
688,1420051
477,682606
575,991894
14,607
747,1674046
644,1244227
337,340726
600,1080019
633,1202086
532,849091
158,74911
214,137407
281,236902
382,437791
668,1338691
648,1259731
232,161491
385,444694
10,319
289,250582
432,559891
495,735094
133,53086
274,225247
319,305302
47,6646
44,5827
165,81694
342,350911
313,293926
495,735094
715,1533694
513,789526
398,475231
668,1338691
519,808102
737,1629526
32,3091
336,338707
134,53887
419,526702
273,223606
258,199711
567,964486
292,255811
700,1470019
278,231871
265,210694
651,1271422
558,934111
655,1287094
650,1267519
278,231871
648,1259731
672,1354771
239,171382
256,196627
233,162886
554,920767
203,123646
267,213886
640,1228819
148,65731
249,186022
195,114094
554,920767
298,266431
29,2542
173,89806
514,792607
448,602131
27,2206
336,338707
204,124867
623,1164406
251,189022
670,1346719
85,21694
385,444694
155,72094
128,49171
49,7222
327,320806
348,363331
562,947551
28,2371
153,70246
266,212287
103,31846
371,412942
631,1194502
96,27667
347,361246
14,607
624,1168147
664,1322707
637,1217326
689,1424182
238,169951
66,13087
573,985006
71,15142
694,1444927
442,586111
476,679747
480,691219
581,1012702
560,940819
259,201262
58,10111
485,705694
300,270019
462,640351
154,71167
185,102694
465,648694
470,662719
709,1508062
224,150547
723,1568206
425,541894
277,230206
151,68422
698,1461631
611,1119982
208,129811
237,168526
563,950926
409,501862
473,671206
750,1687519
641,1232662
191,109462
631,1194502
274,225247
662,1314751
669,1342702
558,934111
579,1005742
252,190531
407,496966
316,299587
634,1205887
32,3091
409,501862
206,127327
485,705694
155,72094
697,1457446
417,521686
482,696991
174,90847
69,14302
148,65731
264,209107
46,6367
169,85702
649,1263622
589,1040782
229,157342
268,215491
542,881311
448,602131
153,70246
94,26527
507,771166
667,1334686
290,252319
141,59662
186,103807
45,6094
562,947551
394,465727
687,1415926
416,519187
303,275446
219,143902
451,610222
248,184531
273,223606
125,46894
304,277267
208,129811
229,157342
222,147871
66,13087
598,1072831
278,231871
304,277267
57,9766
352,371731
233,162886
452,612931
286,245407
592,1051411
6,127
479,688342
530,842719
629,1186942
218,142591
607,1105366
626,1175647
359,386662
347,361246
60,10819
260,202819
114,39007
719,1550902
361,390982
75,16894
373,417406
218,142591
623,1164406
596,1065667
71,15142
650,1267519
39,4582
651,1271422
427,547006
333,332686
675,1366894
82,20191
476,679747
456,623827
509,777262
179,96142
621,1156942
1,22
691,1432462
336,338707
564,954307
652,1275331
563,950926
574,988447
5,94
179,96142
32,3091
249,186022
692,1436611
5,94
91,24862
640,1228819
665,1326694
542,881311
392,461011
76,17347
265,210694
429,552142
311,290182
454,618367
317,301486
496,738067
19,1102
719,1550902
283,240286
595,1062094
469,659902
657,1294966
593,1054966
578,1002271
53,8446
383,440086
387,449326
671,1350742
136,55507
256,196627
287,247126
7,166
264,209107
577,998806
368,406291
523,820606
232,161491
660,1306819
341,348862
644,1244227
598,1072831
601,1083622
202,122431
161,77782
345,357094
367,404086
472,668371
515,795694
507,771166
164,80707
49,7222
380,433219
531,845902
273,223606
575,991894
38,4351
637,1217326
322,311071
721,1559542
